Baudrate:  115200Hz 	OVSR: 17 	DIV:   20 	OVSR_ADJ[10:0]: 252 	Error(%) = -0.08  	BaudrateSetting = 0x0252C014
Baudrate:  230400Hz 	OVSR: 17 	DIV:   10 	OVSR_ADJ[10:0]: 252 	Error(%) = -0.08  	BaudrateSetting = 0x0252C00A
Baudrate:  460800Hz 	OVSR: 17 	DIV:    5 	OVSR_ADJ[10:0]: 252 	Error(%) = -0.08  	BaudrateSetting = 0x0252C005
Baudrate:  500000Hz 	OVSR: 10 	DIV:    8 	OVSR_ADJ[10:0]:   0 	Error(%) = 0.00  	BaudrateSetting = 0x00005008
Baudrate:  501000Hz 	OVSR: 10 	DIV:    8 	OVSR_ADJ[10:0]:   0 	Error(%) = -0.20  	BaudrateSetting = 0x00005008
Baudrate:  502000Hz 	OVSR: 11 	DIV:    7 	OVSR_ADJ[10:0]: 24A 	Error(%) = 0.07  	BaudrateSetting = 0x024A6007
Baudrate:  503000Hz 	OVSR: 13 	DIV:    6 	OVSR_ADJ[10:0]: 222 	Error(%) = 0.03  	BaudrateSetting = 0x02228006
Baudrate:  504000Hz 	OVSR: 15 	DIV:    5 	OVSR_ADJ[10:0]: 7F7 	Error(%) = -0.01  	BaudrateSetting = 0x07F7A005
Baudrate:  505000Hz 	OVSR: 15 	DIV:    5 	OVSR_ADJ[10:0]: 5F7 	Error(%) = -0.21  	BaudrateSetting = 0x05F7A005
Baudrate:  506000Hz 	OVSR: 19 	DIV:    4 	OVSR_ADJ[10:0]: 3BB 	Error(%) = 0.07  	BaudrateSetting = 0x03BBE004
Baudrate:  507000Hz 	OVSR: 19 	DIV:    4 	OVSR_ADJ[10:0]: 5DD 	Error(%) = -0.13  	BaudrateSetting = 0x05DDE004
Baudrate:  508000Hz 	OVSR: 11 	DIV:    7 	OVSR_ADJ[10:0]: 444 	Error(%) = -0.01  	BaudrateSetting = 0x04446007
Baudrate:  509000Hz 	OVSR: 19 	DIV:    4 	OVSR_ADJ[10:0]: 56D 	Error(%) = 0.11  	BaudrateSetting = 0x056DE004
Baudrate:  510000Hz 	OVSR: 19 	DIV:    4 	OVSR_ADJ[10:0]: 6B5 	Error(%) = -0.09  	BaudrateSetting = 0x06B5E004
Baudrate:  511000Hz 	OVSR: 15 	DIV:    5 	OVSR_ADJ[10:0]: 36D 	Error(%) = 0.20  	BaudrateSetting = 0x036DA005
Baudrate:  512000Hz 	OVSR: 15 	DIV:    5 	OVSR_ADJ[10:0]: 5AD 	Error(%) = 0.00  	BaudrateSetting = 0x05ADA005
Baudrate:  513000Hz 	OVSR: 13 	DIV:    6 	OVSR_ADJ[10:0]:   0 	Error(%) = -0.03  	BaudrateSetting = 0x00008006
Baudrate:  514000Hz 	OVSR: 11 	DIV:    7 	OVSR_ADJ[10:0]:  10 	Error(%) = -0.07  	BaudrateSetting = 0x00106007
Baudrate:  515000Hz 	OVSR: 15 	DIV:    5 	OVSR_ADJ[10:0]: 555 	Error(%) = 0.22  	BaudrateSetting = 0x0555A005
Baudrate:  516000Hz 	OVSR: 15 	DIV:    5 	OVSR_ADJ[10:0]: 555 	Error(%) = 0.03  	BaudrateSetting = 0x0555A005
Baudrate:  517000Hz 	OVSR: 12 	DIV:    6 	OVSR_ADJ[10:0]: 7EF 	Error(%) = 0.15  	BaudrateSetting = 0x07EF7006
Baudrate:  518000Hz 	OVSR: 12 	DIV:    6 	OVSR_ADJ[10:0]: 7F7 	Error(%) = -0.04  	BaudrateSetting = 0x07F77006
Baudrate:  519000Hz 	OVSR: 19 	DIV:    4 	OVSR_ADJ[10:0]: 222 	Error(%) = 0.09  	BaudrateSetting = 0x0222E004
Baudrate:  520000Hz 	OVSR: 15 	DIV:    5 	OVSR_ADJ[10:0]: 24A 	Error(%) = 0.06  	BaudrateSetting = 0x024AA005
Baudrate:  521000Hz 	OVSR: 15 	DIV:    5 	OVSR_ADJ[10:0]: 292 	Error(%) = -0.13  	BaudrateSetting = 0x0292A005
Baudrate:  522000Hz 	OVSR: 12 	DIV:    6 	OVSR_ADJ[10:0]: 3BB 	Error(%) = 0.17  	BaudrateSetting = 0x03BB7006
Baudrate:  523000Hz 	OVSR: 12 	DIV:    6 	OVSR_ADJ[10:0]: 5DD 	Error(%) = -0.02  	BaudrateSetting = 0x05DD7006
Baudrate:  524000Hz 	OVSR: 15 	DIV:    5 	OVSR_ADJ[10:0]: 222 	Error(%) = 0.11  	BaudrateSetting = 0x0222A005
Baudrate:  525000Hz 	OVSR: 15 	DIV:    5 	OVSR_ADJ[10:0]: 444 	Error(%) = -0.08  	BaudrateSetting = 0x0444A005
Baudrate:  526000Hz 	OVSR: 19 	DIV:    4 	OVSR_ADJ[10:0]:   0 	Error(%) = 0.06  	BaudrateSetting = 0x0000E004
Baudrate:  527000Hz 	OVSR: 19 	DIV:    4 	OVSR_ADJ[10:0]:   0 	Error(%) = -0.13  	BaudrateSetting = 0x0000E004
Baudrate:  528000Hz 	OVSR: 12 	DIV:    6 	OVSR_ADJ[10:0]: 5AD 	Error(%) = 0.01  	BaudrateSetting = 0x05AD7006
